,COMMUNITY AREA NAME,BUILDING_SUBTYPE,TOTAL KWH,TOTAL THERMS,TOTAL POPULATION,TOTAL UNITS,AVERAGE BUILDING AGE,AVERAGE HOUSESIZE
0,Archer Heights,Multi < 7,,10917.0,89.0,24.0,71.33,3.87
1,Ashburn,Multi 7+,82064.0,,112.0,67.0,41.0,1.81
8,Austin,Multi 7+,41497.0,,79.0,31.0,99.0,2.93
9,Austin,Multi 7+,8596.0,,84.0,33.0,99.0,3.82
10,Austin,Multi < 7,11529.0,,0.0,0.0,0.0,0.0
19,Avondale,Multi < 7,,1390.0,33.0,16.0,101.0,2.2
22,Beverly,Single Family,,784.0,2.0,1.0,51.0,2.0
29,Chatham,Multi 7+,88713.0,,144.0,67.0,47.0,2.4
30,Chatham,Multi < 7,33543.0,,2.0,10.0,0.0,1.0
36,Chicago Lawn,Multi 7+,11309.0,,61.0,29.0,43.0,3.21
39,Clearing,Multi < 7,,2547.0,60.0,25.0,0.0,2.61
40,Clearing,Multi < 7,41881.0,,114.0,76.0,39.0,1.65
41,Dunning,Multi < 7,,1610.0,51.0,16.0,79.0,3.19
43,Dunning,Multi 7+,18887.0,,48.0,18.0,0.0,3.2
44,East Garfield Park,Multi < 7,,2737.0,21.0,5.0,111.0,5.25
46,East Garfield Park,Single Family,,1146.0,6.0,2.0,126.0,3.0
50,East Side,Multi < 7,,2273.0,56.0,18.0,121.0,3.5
51,East Side,Multi < 7,,3767.0,22.0,4.0,97.0,5.5
53,Edgewater,Multi 7+,,3812.0,39.0,17.0,0.0,2.44
55,Edison Park,Multi < 7,,5013.0,49.0,38.0,53.0,1.32
59,Englewood,Single Family,6057.0,,95.0,36.0,97.0,3.65
61,Englewood,Multi 7+,,211.0,51.0,21.0,99.0,2.68
65,Gage Park,Multi 7+,17660.0,,88.0,28.0,41.0,3.52
67,Gage Park,Multi < 7,,6994.0,144.0,33.0,0.0,4.5
69,Garfield Ridge,Multi < 7,,1964.0,46.0,17.0,97.0,2.71
70,Garfield Ridge,Multi 7+,70423.0,,20.0,14.0,45.0,1.67
76,Hermosa,Multi < 7,20917.0,,18.0,9.0,130.0,2.25
82,Humboldt Park,Multi 7+,,833.0,96.0,32.0,91.0,3.43
86,Humboldt Park,Multi < 7,4958.0,,63.0,15.0,111.0,4.2
89,Hyde Park,Single Family,,46982.0,267.0,151.0,0.0,1.96
91,Jefferson Park,Multi < 7,,6067.0,77.0,29.0,85.33,2.75
92,Jefferson Park,Multi < 7,,3708.0,57.0,24.0,80.0,2.71
93,Jefferson Park,Multi < 7,,1967.0,23.0,12.0,83.0,2.09
95,Lakeview,Multi < 7,,5698.0,88.0,34.0,12.0,2.59
96,Lakeview,Single Family,119343.0,,69.0,58.0,0.0,1.3
97,Lakeview,Multi 7+,41662.0,14797.0,74.0,45.0,12.0,2.0
99,Lakeview,Multi < 7,,2353.0,235.0,139.0,22.0,1.81
103,Lincoln Park,Multi 7+,15665.0,4780.0,61.0,22.0,12.0,2.77
106,Lincoln Park,Multi 7+,86004.0,,9.0,4.0,103.0,2.25
108,Lincoln Square,Multi 7+,102719.0,,175.0,65.0,36.0,2.87
111,Lincoln Square,Multi 7+,,4121.0,55.0,25.0,39.0,2.12
112,Logan Square,Single Family,,3199.0,107.0,74.0,4.0,1.49
114,Logan Square,Multi < 7,116874.0,,193.0,106.0,0.0,1.82
115,Logan Square,Single Family,3031.0,,33.0,15.0,120.0,2.36
116,Logan Square,Multi < 7,56703.0,,1.0,1.0,0.0,1.0
118,Logan Square,Single Family,,2769.0,36.0,18.0,119.0,2.0
127,McKinley Park,Single Family,,28230.0,23.0,7.0,0.0,3.14
128,Montclare,Multi < 7,,62.0,17.0,8.0,0.0,2.13
131,Near North Side,Multi < 7,32429.0,4301.0,36.0,18.0,116.0,2.0
146,New City,Single Family,12279.0,,35.0,19.0,105.5,2.19
150,New City,Single Family,10143.0,,48.0,35.0,135.0,1.92
152,North Center,Single Family,18999.0,,55.0,26.0,25.0,2.12
153,North Center,Multi < 7,,3646.0,61.0,36.0,109.0,1.69
154,North Lawndale,Multi < 7,5709.0,,49.0,22.0,82.0,2.72
159,North Park,Multi < 7,,4283.0,13.0,5.0,51.0,2.6
163,O'Hare,Multi 7+,145421.0,,275.0,208.0,31.0,1.4
164,Oakland,Multi < 7,46145.0,,421.0,190.0,0.0,2.41
166,Portage Park,Single Family,,12783.0,40.0,13.0,86.0,3.08
176,Roseland,Multi < 7,9789.0,,36.0,10.0,81.0,4.0
178,South Chicago,Single Family,46209.0,5576.0,0.0,0.0,98.2,0.0
181,South Chicago,Multi < 7,12890.0,,25.0,12.0,0.0,2.78
182,South Chicago,Multi < 7,,6377.0,30.0,12.0,84.0,2.5
187,South Chicago,Multi 7+,51044.0,,115.0,51.0,48.0,2.8
189,South Lawndale,Multi < 7,,2131.0,107.0,45.0,0.0,3.57
193,South Shore,Multi 7+,,2809.0,159.0,83.0,87.0,2.18
194,South Shore,Multi < 7,70074.0,,128.0,57.0,0.0,2.42
196,South Shore,Multi 7+,34997.0,,0.0,0.0,61.0,0.0
198,South Shore,Multi 7+,,1603.0,121.0,59.0,94.0,3.03
201,South Shore,Multi < 7,13484.0,4958.0,224.0,159.0,114.5,1.62
204,Uptown,Multi 7+,310671.0,,225.0,167.0,46.0,1.43
206,Uptown,Multi 7+,117247.0,,116.0,61.0,109.0,1.79
207,Grand Boulevard,Multi < 7,,3160.0,102.0,37.0,122.0,3.0
209,Austin,Multi < 7,33913.0,,116.0,50.0,0.0,2.7
213,Near North Side,Multi < 7,,1568.0,10.0,6.0,129.0,2.0
214,West Englewood,Multi < 7,,315.0,30.0,8.0,126.0,6.0
221,Englewood,Single Family,8195.0,,114.0,40.0,0.0,3.8
223,Fuller Park,Single Family,593.0,,85.0,38.0,121.5,3.15
225,Greater Grand Crossing,Multi < 7,,649.0,27.0,16.0,100.0,3.0
226,West Ridge,Multi 7+,73945.0,,30.0,7.0,40.0,4.29
227,West Ridge,Multi < 7,45458.0,,55.0,19.0,37.0,2.89
230,West Ridge,Multi < 7,204886.0,,169.0,92.0,32.0,2.14
232,Bridgeport,Multi 7+,8838.0,1986.0,156.0,74.0,123.0,2.56
235,Lincoln Park,Single Family,,272.0,56.0,31.0,99.0,2.0
237,Hyde Park,Multi 7+,39824.0,225.0,28.0,27.0,81.0,1.75
247,West Town,Multi 7+,,3590.0,97.0,53.0,111.0,1.98
248,West Town,Single Family,,1454.0,62.0,27.0,4.0,2.38
250,West Town,Multi < 7,,2542.0,125.0,55.0,10.0,2.78
252,Woodlawn,Multi < 7,,1722.0,297.0,244.0,26.0,1.3
255,Woodlawn,Multi < 7,,2804.0,0.0,4.0,114.0,0.0
257,Calumet Heights,Multi 7+,3615.0,1991.0,0.0,0.0,52.0,0.0
259,Albany Park,Multi 7+,201032.0,36822.0,132.0,64.0,65.5,2.2
260,Albany Park,Multi < 7,20608.0,755.0,132.0,64.0,86.0,2.2
261,Albany Park,Multi 7+,,11589.0,86.0,57.0,89.0,1.83
267,Auburn Gresham,Multi < 7,,1653.0,11.0,3.0,96.0,5.5
268,Austin,Single Family,2337.0,,56.0,23.0,86.0,3.29
269,Portage Park,Single Family,,16951.0,56.0,21.0,68.46,2.8
273,Avondale,Multi < 7,,4034.0,25.0,13.0,58.0,2.78
274,Belmont Cragin,Multi 7+,27007.0,,55.0,18.0,51.0,3.06
279,Brighton Park,Multi < 7,42952.0,12393.0,95.0,22.0,84.0,5.0
283,Calumet Heights,Multi < 7,20669.0,4291.0,20.0,8.0,83.0,2.5
285,Chatham,Multi 7+,66249.0,,117.0,75.0,48.0,1.7
288,Clearing,Multi < 7,12028.0,,17.0,12.0,43.0,1.55
289,Dunning,Single Family,11195.0,,54.0,23.0,53.0,2.84
290,East Garfield Park,Multi 7+,3287.0,,110.0,60.0,101.0,3.14
292,East Side,Single Family,,17133.0,37.0,18.0,52.88,2.31
294,Edgewater,Multi 7+,5576.0,,76.0,50.0,82.0,1.55
295,Englewood,Multi 7+,22666.0,,64.0,22.0,131.0,4.57
296,Englewood,Multi < 7,13552.0,,25.0,14.0,116.5,2.27
297,Englewood,Multi < 7,22978.0,8895.0,59.0,22.0,108.0,4.21
301,Fuller Park,Multi < 7,8503.0,,10.0,4.0,126.0,5.0
304,Montclare,Single Family,525936.0,,45.0,19.0,73.98,2.37
306,Garfield Ridge,Multi 7+,44112.0,,46.0,17.0,31.0,3.29
308,Garfield Ridge,Single Family,43332.0,,0.0,0.0,49.0,0.0
314,Greater Grand Crossing,Multi < 7,33568.0,,24.0,13.0,127.0,2.67
315,Hegewisch,Single Family,29737.0,7377.0,0.0,0.0,48.0,0.0
